,mean_abs_shap
self__shock__wl_entropy__median,0.01970145072501177
contrast__vib__wlabs3__max,0.014802464602331844
other__vib__wl_entropy__p90,0.014060200653714735
self__vib__wl_centroid_m__p90,0.013728339560416315
self__shock__wlfrac2__p90,0.01276401779836184
contrast__vib__std__max,0.012388530739794987
other__vib__wl_flatness__mean,0.011860790871821871
self__shock__wl_entropy__mean,0.010133583869684838
contrast__vib__wlabs3__mean,0.010099569225224871
contrast__vib__rms__max,0.009758098098013718
other__vib__wlfrac4__median,0.00943651052228778
contrast__vib__std__std,0.008344813429339943
self__vib__wl_flatness__std,0.007436422494692857
other__vib__wl_entropy__max,0.007393889230145295
contrast__vib__sp_entropy__mean,0.007341272890198871
contrast__vib__zcr__mean,0.007030507664801102
contrast__vib__rms__mean,0.006553420175533705
contrast__vib__wlabs3__std,0.006547925630009369
contrast__vib__wlfrac3__mean,0.006277467112114416
contrast__vib__rms__std,0.006222611357943361
contrast__vib__std__mean,0.00608090387414861
other__vib__wl_flatness__max,0.005995032128556337
other__vib__wl_entropy__mean,0.0057726638753949275
self__vib__wl_peak_m__std,0.005450883903748359
other__vib__wl_flatness__p90,0.005422778513998114
contrast__vib__zcr__std,0.0052022575631575805
other__vib__wl_peak_m__std,0.004656017590022888
self__vib__wl_flatness__mean,0.004413450143666824
self__vib__wl_centroid_m__max,0.004368789435107216
self__shock__wl_centroid_m__std,0.004346595801165382
self__shock__wl_flatness__mean,0.004346281125343669
other__shock__wl_entropy__mean,0.004258544628162666
other__vib__wl_flatness__median,0.0039423835672267715
contrast__vib__sp_rolloff95_hz__mean,0.0035219504942909973
self__shock__zcr__p90,0.003502895749511748
other__vib__wlfrac1__p90,0.003458603035318614
contrast__vib__sp_rolloff95_hz__max,0.00343416228949707
self__vib__wlfrac4__p90,0.003415103326753215
self__vib__wl_centroid_m__mean,0.003318297636374182
self__vib__wl_flatness__median,0.0031491447135309665
self__vib__wl_centroid_m__std,0.003028308334550591
other__vib__wlfrac3__max,0.002924980734668163
contrast__shock__p2p__mean,0.002865425176733829
self__shock__wl_flatness__median,0.0028494546302776464
contrast__shock__wlabs4__mean,0.0027633371049437636
contrast__vib__sp_spread_hz__max,0.0027489593518809667
other__vib__wlfrac1__std,0.002660952527712206
contrast__shock__peak__mean,0.002647376530135296
self__vib__wlfrac1__p90,0.0024764784613219345
self__vib__wlfrac3__p90,0.0024348051808956977
other__shock__wl_peak_m__mean,0.0022305614520184503
self__shock__wlfrac1__mean,0.0022139615214294035
contrast__vib__std__p90,0.002206473264455767
self__vib__sp_entropy__mean,0.002200800339130639
other__vib__sp_entropy__p90,0.002179042710518744
other__vib__kurtosis__p90,0.002127234224716546
other__vib__wlfrac4__mean,0.0020706994694116654
